  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr       dur
    136            0.8171        0.8640       0.6713            0.6713        0.8283  0.0478  294.5979
    137            0.7566        0.8477       0.6312            0.6312        0.9005  0.0477  303.8594
    138            0.8048        0.8633       0.6813            0.6813        0.8287  0.0477  298.3100
    139            0.7878        0.8588       0.6400            0.6400        0.8753  0.0477  299.2145
    140            0.7242        0.8499       0.6061            0.6061        0.9243  0.0476  286.9506
    141            0.7704        0.8520       0.6416            0.6416        0.9045  0.0476  288.3711
    142            0.7986        0.9389       0.6848            0.6848        0.8201  0.0476  293.4048
    143            0.7369        0.8329       0.6157            0.6157        0.9642  0.0475  292.1186
    144            0.8090        0.8253       0.6786            0.6786        0.8301  0.0475  273.1967
    145            0.8129        0.8645       0.6732            0.6732        0.8322  0.0475  292.4411
    146            0.6960        0.8788       0.5783            0.5783        0.9943  0.0474  297.8462
    147            0.8013        0.9158       0.6601            0.6601        0.8406  0.0474  293.5541
    148            0.7932        0.7774       0.6636            0.6636        0.8585  0.0474  283.4697
    149            0.7859        0.7883       0.6590            0.6590        0.8654  0.0473  294.8215
    150            0.8156        0.8147       0.6655            0.6655        0.8406  0.0473  294.9250
    151            0.8094        0.8213       0.6809            0.6809        0.8195  0.0473  294.8305
    152            0.6829        0.8139       0.5872            0.5872        1.0434  0.0472  291.9821
    153            0.7188        0.8516       0.5992            0.5992        1.0458  0.0472  292.8268
    154            0.7708        0.8679       0.6481            0.6481        0.8755  0.0472  294.0737
    155            0.7554        0.8871       0.6208            0.6208        0.9162  0.0471  298.5658
    156            0.7330        0.8296       0.6181            0.6181        0.9361  0.0471  292.3584
    157            0.7677        0.8667       0.6597            0.6597        0.8818  0.0471  283.5567
    158            0.8063        0.9507       0.6574            0.6574        0.8478  0.0470  287.4028
    159            0.8002        0.8705       0.6454            0.6454        0.8631  0.0470  297.7017
    160            0.8210        0.7996       0.6840            0.6840        0.8111  0.0469  309.6275
    161            0.7585        0.7969       0.6393            0.6393        0.8826  0.0469  295.8500
    162            0.7203        0.7928       0.6123            0.6123        0.9223  0.0469  304.6552
    163            0.7878        0.8483       0.6659            0.6659        0.8445  0.0468  306.8310
    164            0.8160        0.8465       0.6825            0.6825        0.8060  0.0468  282.7219
    165            0.8218        0.8063       0.6752            0.6752        0.8208  0.0467  303.8955
    166            0.8009        0.8374       0.6667            0.6667        0.8365  0.0467  296.4430
    167            0.7782        0.7775       0.6431            0.6431        0.8684  0.0467  295.9586
    168            0.8025        0.8653       0.6671            0.6671        0.8396  0.0466  294.6043
    169            0.7608        0.8256       0.6350            0.6350        0.9305  0.0466  301.7858
    170            0.7928        0.7873       0.6512            0.6512        0.8817  0.0466  300.5674
    171            0.8252        0.8080       0.6910            0.6910        0.8043  0.0465  289.8136
    172            0.7446        0.8365       0.6204            0.6204        1.0421  0.0465  305.4423
    173            0.7840        0.9215       0.6624            0.6624        0.8556  0.0464  295.6665
    174            0.7731        0.8237       0.6435            0.6435        0.8747  0.0464  294.3887
    175            0.8183        0.8878       0.6674            0.6674        0.8287  0.0463  286.2143
    176            0.7855        0.8385       0.6705            0.6705        0.8648  0.0463  303.8152
    177            0.7828        0.9480       0.6258            0.6258        0.9285  0.0463  294.1403
    178            0.7816        0.8750       0.6435            0.6435        0.8714  0.0462  298.4400
    179            0.8063        0.9037       0.6663            0.6663        0.8331  0.0462  303.1347
    180            0.7851        0.8201       0.6605            0.6605        0.8531  0.0461  280.4030
    181            0.8152        0.8308       0.6767            0.6767        0.8159  0.0461  296.1214
    182            0.7982        0.8316       0.6574            0.6574        0.8458  0.0461  299.8354
    183            0.8183        0.7811       0.6825            0.6825        0.8185  0.0460  292.7321
    184            0.8264        0.7730       0.6755            0.6755        0.8201  0.0460  290.2951
    185            0.8202        0.8068       0.6833            0.6833        0.8181  0.0459  284.7257
    186            0.8272        0.7791       0.6767            0.6767        0.8048  0.0459  309.9647
    187            0.7851        0.7908       0.6593            0.6593        0.8790  0.0458  296.5236
    188            0.7743        0.7990       0.6562            0.6562        0.8959  0.0458  301.8987
    189            0.8044        0.8411       0.6647            0.6647        0.8294  0.0458  301.4340
    190            0.8021        0.8057       0.6597            0.6597        0.8335  0.0457  310.8474
    191            0.7778        0.7980       0.6447            0.6447        0.8620  0.0457  311.4584
    192            0.8287        0.8022       0.6833            0.6833        0.8023  0.0456  297.3030
    193            0.7917        0.8049       0.6782            0.6782        0.8186  0.0456  240.3774
    194            0.8048        0.8613       0.6698            0.6698        0.8383  0.0455  228.6555
    195            0.8152        0.7880       0.6887            0.6887        0.7977  0.0455  242.7718
    196            0.7874        0.7675       0.6659            0.6659        0.8422  0.0454  252.4876
    197            0.7569        0.8199       0.6208            0.6208        0.9178  0.0454  236.9524
