  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
    160            0.8696        0.7240       0.6343            0.6343        0.9313  0.0188  117.5057
    161            0.8546        0.7382       0.6308            0.6308        0.9367  0.0188  119.5557
    162            0.8638        0.7142       0.6520            0.6520        0.8948  0.0187  117.3106
    163            0.8893        0.7088       0.6547            0.6547        0.8654  0.0187  119.5156
    164            0.8600        0.7035       0.6327            0.6327        0.9397  0.0187  115.6882
    165            0.8383        0.7413       0.6262            0.6262        0.9552  0.0187  119.6775
    166            0.8237        0.7283       0.6181            0.6181        0.9754  0.0187  117.0401
    167            0.8669        0.7209       0.6370            0.6370        0.9107  0.0187  121.8256
    168            0.8738        0.7158       0.6566            0.6566        0.8852  0.0187  118.3331
    169            0.8831        0.7115       0.6404            0.6404        0.9283  0.0186  119.5534
    170            0.8484        0.7010       0.6304            0.6304        0.9679  0.0186  119.3093
    171            0.8588        0.7064       0.6431            0.6431        0.9291  0.0186  117.7796
    172            0.8900        0.7359       0.6551            0.6551        0.8960  0.0186  119.3071
    173            0.8715        0.7259       0.6343            0.6343        0.9179  0.0186  117.8079
    174            0.8646        0.7448       0.6292            0.6292        0.9471  0.0186  120.3542
    175            0.8565        0.7489       0.6478            0.6478        0.9225  0.0185  116.7295
    176            0.8522        0.7033       0.6354            0.6354        0.9495  0.0185  118.6435
    177            0.8715        0.7348       0.6512            0.6512        0.8799  0.0185  117.2185
    178            0.8765        0.6894       0.6327            0.6327        0.9318  0.0185  118.9070
    179            0.8499        0.7211       0.6215            0.6215        0.9715  0.0185  116.4114
    180            0.8854        0.7089       0.6343            0.6343        0.9162  0.0185  119.9388
    181            0.8866        0.7185       0.6462            0.6462        0.8998  0.0184  117.3390
    182            0.8858        0.6939       0.6373            0.6373        0.9124  0.0184  119.9171
    183            0.8843        0.7081       0.6339            0.6339        0.9094  0.0184  117.3666
    184            0.8735        0.6675       0.6343            0.6343        0.9524  0.0184  119.0658
    185            0.8731        0.7096       0.6316            0.6316        0.9179  0.0184  117.3364
    186            0.8827        0.7045       0.6285            0.6285        0.9302  0.0184  120.1103
    187            0.8819        0.6788       0.6535            0.6535        0.9117  0.0183  116.1828
    188            0.9001        0.7088       0.6466            0.6466        0.9043  0.0183  119.0834
    189            0.8816        0.7034       0.6258            0.6258        0.9514  0.0183  116.9082
    190            0.8912        0.7320       0.6323            0.6323        0.9365  0.0183  117.4290
    191            0.9059        0.7092       0.6605            0.6605        0.8937  0.0183  118.5234
    192            0.8993        0.6891       0.6416            0.6416        0.9210  0.0182  118.7905
    193            0.8885        0.6976       0.6505            0.6505        0.9315  0.0182  120.7963
    194            0.8777        0.7041       0.6420            0.6420        0.9165  0.0182  122.5255
    195            0.8916        0.6926       0.6420            0.6420        0.9612  0.0182  118.8448
    196            0.8738        0.6794       0.6235            0.6235        0.9552  0.0182  120.0369
    197            0.8476        0.7212       0.6308            0.6308        0.9515  0.0182  120.1509
    198            0.8862        0.6839       0.6389            0.6389        0.9364  0.0181  118.8576
    199            0.8889        0.6834       0.6408            0.6408        0.9255  0.0181  123.1638
    200            0.8843        0.6936       0.6350            0.6350        0.9414  0.0181  116.7491
    201            0.8877        0.6656       0.6412            0.6412        0.9587  0.0181  124.2005
    202            0.9051        0.6918       0.6254            0.6254        0.9364  0.0181  118.2528
    203            0.8839        0.6836       0.6408            0.6408        0.9371  0.0180  118.8891
    204            0.8931        0.6593       0.6366            0.6366        0.9311  0.0180  121.3040
    205            0.8754        0.6788       0.6377            0.6377        0.9614  0.0180  123.2168
    206            0.8623        0.6939       0.6358            0.6358        0.9536  0.0180  123.4096
    207            0.8916        0.6736       0.6520            0.6520        0.9131  0.0180  121.8841
    208            0.8966        0.6877       0.6389            0.6389        0.9188  0.0180  122.0629
    209            0.8985        0.6927       0.6435            0.6435        0.9024  0.0179  121.8167
    210            0.8723        0.6839       0.6308            0.6308        0.9694  0.0179  122.8692
    211            0.8619        0.7004       0.6242            0.6242        0.9805  0.0179  121.7375
    212            0.9190        0.6599       0.6435            0.6435        0.9520  0.0179  120.7362
    213            0.8873        0.6503       0.6331            0.6331        0.9479  0.0179  121.4219
    214            0.8954        0.6874       0.6439            0.6439        0.9295  0.0178  120.5961
    215            0.9043        0.6676       0.6408            0.6408        0.9269  0.0178  122.0817
    216            0.8515        0.6796       0.6227            0.6227        0.9799  0.0178  121.9892
    217            0.8468        0.6808       0.6134            0.6134        1.0126  0.0178  120.5412
    218            0.8881        0.6718       0.6308            0.6308        0.9556  0.0178  123.5646
    219            0.8931        0.6761       0.6366            0.6366        0.9270  0.0177  123.3426
    220            0.8951        0.6958       0.6420            0.6420        0.9270  0.0177  122.6429
    221            0.9028        0.6783       0.6516            0.6516        0.9259  0.0177  123.1143
    222            0.8985        0.6467       0.6385            0.6385        0.9249  0.0177  122.3134
    223            0.9032        0.6750       0.6416            0.6416        0.9516  0.0177  121.7758
    224            0.9090        0.7074       0.6566            0.6566        0.8795  0.0176  122.4344
    225            0.8715        0.6424       0.6439            0.6439        0.9649  0.0176  121.1589
    226            0.9051        0.6680       0.6505            0.6505        0.9269  0.0176  120.4282
    227            0.9236        0.6505       0.6582            0.6582        0.9061  0.0176  122.1959
    228            0.8931        0.6566       0.6485            0.6485        0.9308  0.0176  120.7532
    229            0.8742        0.6505       0.6219            0.6219        0.9889  0.0175  120.7411
    230            0.8573        0.6751       0.6273            0.6273        0.9775  0.0175  122.1170
    231            0.9078        0.6751       0.6474            0.6474        0.9143  0.0175  121.8566
    232            0.8900        0.6449       0.6258            0.6258        0.9624  0.0175  121.4356
    233            0.8657        0.6701       0.6211            0.6211        0.9932  0.0175  122.1063
    234            0.9182        0.6826       0.6443            0.6443        0.9014  0.0174  122.7785
    235            0.9213        0.6246       0.6420            0.6420        0.9444  0.0174  122.5101
    236            0.9117        0.6400       0.6439            0.6439        0.9273  0.0174  121.5727
    237            0.9047        0.6759       0.6443            0.6443        0.9137  0.0174  122.7587
    238            0.9062        0.6535       0.6300            0.6300        0.9592  0.0173  126.9556
    239            0.8765        0.6817       0.6250            0.6250        0.9681  0.0173  122.4102
    240            0.8916        0.6518       0.6350            0.6350        0.9608  0.0173  121.8780
    241            0.9117        0.6321       0.6300            0.6300        0.9591  0.0173  121.2297
    242            0.8785        0.6607       0.6397            0.6397        0.9408  0.0173  123.3911
    243            0.8935        0.6495       0.6435            0.6435        0.9292  0.0172  122.8570
    244            0.9321        0.6342       0.6304            0.6304        0.9394  0.0172  121.1286
    245            0.9271        0.6501       0.6424            0.6424        0.9183  0.0172  120.7451
    246            0.8958        0.6688       0.6292            0.6292        0.9562  0.0172  121.6658
    247            0.9047        0.6707       0.6400            0.6400        0.9504  0.0172  120.3517
    248            0.8989        0.6676       0.6370            0.6370        0.9540  0.0171  120.8104
    249            0.9267        0.6315       0.6508            0.6508        0.9154  0.0171  121.1935
    250            0.9163        0.6645       0.6370            0.6370        0.9380  0.0171  121.3469
    251            0.9147        0.6846       0.6493            0.6493        0.9040  0.0171  121.7688
    252            0.9217        0.6226       0.6528            0.6528        0.9214  0.0170  125.2327
    253            0.9105        0.6158       0.6485            0.6485        0.9458  0.0170  136.8138
    254            0.9340        0.6489       0.6516            0.6516        0.9042  0.0170  169.1693
    255            0.8808        0.6621       0.6196            0.6196        0.9733  0.0170  138.9118
    256            0.9171        0.6361       0.6408            0.6408        0.9520  0.0170  120.2282
    257            0.9182        0.6789       0.6466            0.6466        0.9442  0.0169  122.5977
    258            0.8947        0.6616       0.6485            0.6485        0.9377  0.0169  121.2476
    259            0.9352        0.6263       0.6408            0.6408        0.9044  0.0169  121.7314
    260            0.9302        0.6205       0.6443            0.6443        0.9129  0.0169  121.6309
    261            0.9336        0.6356       0.6458            0.6458        0.9333  0.0168  121.3232
    262            0.9225        0.6339       0.6404            0.6404        0.9352  0.0168  121.8853
    263            0.8997        0.6314       0.6377            0.6377        0.9528  0.0168  119.8488
    264            0.9344        0.6539       0.6493            0.6493        0.9168  0.0168  120.8845
    265            0.9375        0.6380       0.6516            0.6516        0.9039  0.0167  119.5903
    266            0.9236        0.6408       0.6312            0.6312        0.9358  0.0167  122.1702
    267            0.9213        0.6448       0.6400            0.6400        0.9385  0.0167  122.8688
    268            0.9039        0.6489       0.6451            0.6451        0.9658  0.0167  121.6569
    269            0.9236        0.6380       0.6520            0.6520        0.9419  0.0167  122.1375
    270            0.8885        0.6542       0.6289            0.6289        0.9948  0.0166  119.2498
    271            0.9228        0.6512       0.6420            0.6420        0.9327  0.0166  120.2705
    272            0.9090        0.6138       0.6281            0.6281        0.9741  0.0166  121.2050
    273            0.9186        0.6226       0.6381            0.6381        0.9616  0.0166  122.8884
    274            0.9144        0.6223       0.6319            0.6319        0.9588  0.0165  122.7937
    275            0.9225        0.6417       0.6292            0.6292        0.9627  0.0165  122.5169
    276            0.9302        0.6336       0.6424            0.6424        0.9220  0.0165  120.5671
    277            0.9205        0.6567       0.6516            0.6516        0.9296  0.0165  120.2030
    278            0.9344        0.6154       0.6528            0.6528        0.9306  0.0164  121.3610
    279            0.9198        0.6236       0.6451            0.6451        0.9253  0.0164  121.3949
    280            0.9128        0.6542       0.6296            0.6296        0.9539  0.0164  121.0316
    281            0.9375        0.6474       0.6408            0.6408        0.9412  0.0164  122.4312
    282            0.9294        0.6076       0.6439            0.6439        0.9199  0.0163  122.5294
    283            0.9236        0.6392       0.6485            0.6485        0.9150  0.0163  120.9779
    284            0.9124        0.6423       0.6354            0.6354        0.9522  0.0163  121.2834
    285            0.9066        0.6336       0.6466            0.6466        0.9389  0.0163  122.8702
    286            0.9171        0.6275       0.6350            0.6350        0.9521  0.0162  120.4080
    287            0.9136        0.6409       0.6316            0.6316        0.9598  0.0162  123.8227
    288            0.9321        0.6281       0.6516            0.6516        0.9267  0.0162  122.6551
    289            0.9136        0.6181       0.6404            0.6404        0.9467  0.0162  122.3492
    290            0.9240        0.6172       0.6447            0.6447        0.9560  0.0161  120.5556
    291            0.9070        0.6242       0.6308            0.6308        0.9553  0.0161  118.5520
    292            0.9086        0.6327       0.6292            0.6292        0.9674  0.0161  119.9786
    293            0.9282        0.5903       0.6370            0.6370        0.9658  0.0161  117.3194
    294            0.9275        0.6335       0.6362            0.6362        0.9567  0.0160  120.7334
    295            0.9109        0.6270       0.6204            0.6204        0.9885  0.0160  119.1027
    296            0.9356        0.6089       0.6458            0.6458        0.9426  0.0160  117.7587
    297            0.9171        0.6167       0.6412            0.6412        0.9462  0.0160  119.6252
    298            0.9333        0.6313       0.6397            0.6397        0.9369  0.0159  120.8852
    299            0.8935        0.6009       0.6373            0.6373        1.0021  0.0159  117.5681
    300            0.9348        0.6272       0.6385            0.6385        0.9410  0.0159  117.6185
    301            0.9325        0.6403       0.6481            0.6481        0.9205  0.0159  119.0564
    302            0.9306        0.6101       0.6397            0.6397        0.9536  0.0158  117.4328
    303            0.9348        0.6354       0.6462            0.6462        0.9176  0.0158  118.8814
    304            0.9414        0.5878       0.6408            0.6408        0.9538  0.0158  118.0306
    305            0.9286        0.5938       0.6478            0.6478        0.9633  0.0158  121.0079
    306            0.9402        0.6016       0.6416            0.6416        0.9532  0.0157  118.2929
    307            0.9259        0.6149       0.6385            0.6385        0.9808  0.0157  119.4090
    308            0.9163        0.6380       0.6416            0.6416        0.9412  0.0157  116.9101
    309            0.9479        0.6187       0.6393            0.6393        0.9594  0.0157  120.2196
    310            0.9255        0.6084       0.6323            0.6323        0.9745  0.0156  117.0996
    311            0.9433        0.6285       0.6474            0.6474        0.9209  0.0156  118.9429
    312            0.9414        0.6155       0.6454            0.6454        0.9348  0.0156  118.6638
    313            0.9352        0.6157       0.6424            0.6424        0.9668  0.0156  119.1088
    314            0.9483        0.5858       0.6420            0.6420        0.9418  0.0155  117.5225
    315            0.9093        0.6018       0.6312            0.6312        1.0072  0.0155  118.6279
    316            0.9252        0.6137       0.6300            0.6300        1.0006  0.0155  117.3297
    317            0.9232        0.6335       0.6339            0.6339        0.9687  0.0155  117.7720
    318            0.9498        0.5912       0.6451            0.6451        0.9190  0.0154  117.8354
